,cat_num,cat_name,Question,optA,optB,optC,optD,correct,Direction
348,1.4,Idioms & Phrases,The pros and cons,Measure the ingredients,Observe etiquette,Consider all facts,Postpone action,C,Select the alternative which best expresses the meaning of the idiom/phrase.
349,1.4,Idioms & Phrases,Got the sack,Resigned,Got rid of,Was demoted from,Was dismissed from,D,Select the alternative which best expresses the meaning of the idiom/phrase.
350,1.4,Idioms & Phrases,Green-eyed monster,Anger,Hatred,Envy,Jealousy,D,Select the alternative which best expresses the meaning of the idiom/phrase.
351,1.4,Idioms & Phrases,To fight tooth and nail,To fight a losing battle,To oppose resolutely,To have a physical fight,To lodge a formal protest,B,Select the alternative which best expresses the meaning of the idiom/phrase.
352,1.4,Idioms & Phrases,At one’s wit’s end,To understand thoroughly,To be puzzled,To be a stupid person,To behave irrationally,B,Select the alternative which best expresses the meaning of the idiom/phrase.
353,1.4,Idioms & Phrases,Turned a deaf ear to his,Disputed,Paid attention to,Disregarded,Acknowledged gratefully,C,Select the alternative which best expresses the meaning of the idiom/phrase.
354,1.4,Idioms & Phrases,Made my flesh creep,Thrilled me,Horrified me,Excited me,Frightened me,D,Select the alternative which best expresses the meaning of the idiom/phrase.
355,1.4,Idioms & Phrases,Burnt his boats so,Felt dejected,Blasted his hopes,Ruined himself,Left no means of retreat,D,Select the alternative which best expresses the meaning of the idiom/phrase.
356,1.4,Idioms & Phrases,Cannot hold a candle,Equal to,Not as clever as,Cannot be compared to,Duller than,C,Select the alternative which best expresses the meaning of the idiom/phrase.
357,1.4,Idioms & Phrases,Brought up,Discussed at great length,Introduced for discussion,Criticised vehemently,Vaguely referred to,B,Select the alternative which best expresses the meaning of the idiom/phrase.
358,1.4,Idioms & Phrases,Cut no ice with me,Had no influence on me,Did not hurt me,Did not benefit me,Did not make me proud,A,Select the alternative which best expresses the meaning of the idiom/phrase.
359,1.4,Idioms & Phrases,A fair-weather friend,A good friend,A friend who meets difficulties,One who deserts you in difficulties,A favourable friend,C,Select the alternative which best expresses the meaning of the idiom/phrase.
360,1.4,Idioms & Phrases,Die in harness,Riding a horse,In a stable,In a uniform,Still in service,D,Select the alternative which best expresses the meaning of the idiom/phrase.
361,1.4,Idioms & Phrases,Keep under wraps,Covered,Protected,Unpacked,Secret,D,Select the alternative which best expresses the meaning of the idiom/phrase.
362,1.4,Idioms & Phrases,Like a phoenix,With a new life,With a start,With a royal gait,With vengeance,A,Select the alternative which best expresses the meaning of the idiom/phrase.
363,1.4,Idioms & Phrases,Sore point with,Something which hurts,Something that brings fear to,Something memorable for,Something pleasurable to,A,Select the alternative which best expresses the meaning of the idiom/phrase.
364,1.4,Idioms & Phrases,On the verge of,On the brink of,At the outset of,In the midst of,At the risk of,A,Select the alternative which best expresses the meaning of the idiom/phrase.
365,1.4,Idioms & Phrases,Of no avail,Unsuccessful,Postponed,Useless,delayed,A,Select the alternative which best expresses the meaning of the idiom/phrase.
366,1.4,Idioms & Phrases,By leaps and bounds,Rapidly,Slowly,Peacefully,Strongly,A,Select the alternative which best expresses the meaning of the idiom/phrase.
367,1.4,Idioms & Phrases,Emerge out of thin air,Appear suddenly,Descend gradually,Fall down quickly,Enter from space,A,Select the alternative which best expresses the meaning of the idiom/phrase.
368,1.4,Idioms & Phrases,Bolt from the blue,Something unexpected,Something unpleasant,Something horrible,Something unexpected and unpleasant,D,Select the alternative which best expresses the meaning of the idiom/phrase.
369,1.4,Idioms & Phrases,At one’s wit’s end,To work hard,To be intelligent,To get puzzled,To be stupid,C,Select the alternative which best expresses the meaning of the idiom/phrase.
370,1.4,Idioms & Phrases,To take someone to task,To scold someone,To assign work to his place of work,To take someone to his place of work,To praise someone for the work done,A,Select the alternative which best expresses the meaning of the idiom/phrase.
371,1.4,Idioms & Phrases,To face the music,To be greeted rudely,To be offered warm hospitality,To enjoy a music programme,To bear the consequences,D,Select the alternative which best expresses the meaning of the idiom/phrase.
372,1.4,Idioms & Phrases,To blow one’s own trumpet,To play on one’s own trumpet,To praise one’s own self,To create noisy disturbances,To have a high-pitched voice,B,Select the alternative which best expresses the meaning of the idiom/phrase.
373,1.4,Idioms & Phrases,To run one down,To be in a hurry,To be weak and tired,To disparage someone,To run down a lane,C,Select the alternative which best expresses the meaning of the idiom/phrase.
374,1.4,Idioms & Phrases,At snail’s pace,To do things very slowly,To walk like a snail,To lack interest in work,To do things in a methodical manner,A,Select the alternative which best expresses the meaning of the idiom/phrase.
375,1.4,Idioms & Phrases,To turn a deaf ear,To be hard of hearing,To be indifferent,To be attentive,To be obstinate,B,Select the alternative which best expresses the meaning of the idiom/phrase.
376,1.4,Idioms & Phrases,To take to one’s heels,To run off,To show one’s heels,To turn around,To walk leisurely,A,Select the alternative which best expresses the meaning of the idiom/phrase.
377,1.4,Idioms & Phrases,To have something up one’s sleeves,Having a practical plan,Having an important project,Having an ambitious plan,Having a secret plan,D,Select the alternative which best expresses the meaning of the idiom/phrase.
378,1.4,Idioms & Phrases,To end in smoke,To have a smoking session,To be on fire,To come to nothing,To burn slowly,C,Select the alternative which best expresses the meaning of the idiom/phrase.
379,1.4,Idioms & Phrases,Made a clean breast of,Confessed,Took off his shirt,Suffered,Spoke ill,A,Select the alternative which best expresses the meaning of the idiom/phrase.
380,1.4,Idioms & Phrases,Done for,Ruined,Rewarded,Answered,Questioned,A,Select the alternative which best expresses the meaning of the idiom/phrase.
381,1.4,Idioms & Phrases,On the level,Equally rich,Mentally compatible,Honest and sincere,Ready for sacrifices,B,Select the alternative which best expresses the meaning of the idiom/phrase.
382,1.4,Idioms & Phrases,Made duck and drakes of,Squandered,Distributed,Spent,Gave in charity,A,Select the alternative which best expresses the meaning of the idiom/phrase.
383,1.4,Idioms & Phrases,Went to the winds,Dissipated,Spread all over,Got speed of the winds,Became well-known,A,Select the alternative which best expresses the meaning of the idiom/phrase.
384,1.4,Idioms & Phrases,Reading between the lines,Reading slowly and haltingly,Understanding the sense rather than the actual words,Understanding the meaning of words and not the sense,Reading superficially,B,Select the alternative which best expresses the meaning of the idiom/phrase.
385,1.4,Idioms & Phrases,By fits and starts,Consistently,Irregularly,In high spirits,Enthusiastically,B,Select the alternative which best expresses the meaning of the idiom/phrase.
386,1.4,Idioms & Phrases,Put up with,Excuse,Refuse,Accept,Tolerate,D,Select the alternative which best expresses the meaning of the idiom/phrase.
387,1.4,Idioms & Phrases,Talking through his hat,Talking nonsense,Talking ignorantly,Talking irresponsibly,Talking insultingly,A,Select the alternative which best expresses the meaning of the idiom/phrase.
388,1.4,Idioms & Phrases,Go through fire and water,Approach everybody for help,Avail himself of any opportunity,Use any conceivable method,Undergo any risk,C,Select the alternative which best expresses the meaning of the idiom/phrase.
389,1.4,Idioms & Phrases,Ran riot,Behave cleverly,Acted without restraint,Wandered aimlessly,Had the best of time,B,Select the alternative which best expresses the meaning of the idiom/phrase.
390,1.4,Idioms & Phrases,Put up with,Endure,Evade,Suppress,Assume,A,Select the alternative which best expresses the meaning of the idiom/phrase.
391,1.4,Idioms & Phrases,Cheek by jowl,Very near,Very far,Tongue tied,Irritated,A,Select the alternative which best expresses the meaning of the idiom/phrase.
392,1.4,Idioms & Phrases,Gave the game away,Lost the game,Gave out the secret ,Played badly,Withdrew from the game,B,Select the alternative which best expresses the meaning of the idiom/phrase.
393,1.4,Idioms & Phrases,Turn an honest penny,Make a legitimate living,Make a good living,Have dealings in white money,Become more honest,A,Select the alternative which best expresses the meaning of the idiom/phrase.
394,1.4,Idioms & Phrases,Sowing wild oats,Inviting troubles as a boy,Warning others as a young man,Irresponsible pleasure seeking in young age,Sowing grains called oats when young,C,Select the alternative which best expresses the meaning of the idiom/phrase.
395,1.4,Idioms & Phrases,Standoffish,Angry,Hilarious,Indifferent,Unmanageable,A,Select the alternative which best expresses the meaning of the idiom/phrase.
396,1.4,Idioms & Phrases,Blowing your own trumpet,Playing our own trumpet to produce music,Making too much noise,Praising your own abilities and achievements,None of the above,C,Select the alternative which best expresses the meaning of the idiom/phrase.
397,1.4,Idioms & Phrases,An axe to grind,A blunt axe,A sharp tongue,A private interest to serve,A tendency to fight,C,Select the alternative which best expresses the meaning of the idiom/phrase.
398,1.4,Idioms & Phrases,An open book,An uncomplicated one,One that held no secrets,An example to all,An interesting biography,B,Select the alternative which best expresses the meaning of the idiom/phrase.
399,1.4,Idioms & Phrases,Reading between the lines,Looking for meanings that are not actually expressed,Reading carelessly,Reading with anxiety,Glancing over the lines,A,Select the alternative which best expresses the meaning of the idiom/phrase.
400,1.4,Idioms & Phrases,To give the devil his due,To give credit to even a notorious person,To give encouragement even to the enemy,To invite the devil,To stand in the way of the devil,A,Select the alternative which best expresses the meaning of the idiom/phrase.
401,1.4,Idioms & Phrases,To eat humble pie,To eat slowly,To have an excellent dish,To eat a good pie,To have to apologise,D,Select the alternative which best expresses the meaning of the idiom/phrase.
402,1.4,Idioms & Phrases,Hobson’s choice,Excellent choice,No real choice at all,Choice to live or die,First choice,B,Select the alternative which best expresses the meaning of the idiom/phrase.
403,1.4,Idioms & Phrases,With a grain of salt,To listen to something with considerable doubt,To talk sensibly,To criticise,To complement,A,Select the alternative which best expresses the meaning of the idiom/phrase.
404,1.4,Idioms & Phrases,Drew on his fancy,Used his understanding,Used him imagination,Used his imagination,Used his skill,C,Select the alternative which best expresses the meaning of the idiom/phrase.
405,1.4,Idioms & Phrases,Pay through his nose,Pay huge loans,Pay a reasonable price,Pay an extremely high price,Make a quick buck,C,Select the alternative which best expresses the meaning of the idiom/phrase.
406,1.4,Idioms & Phrases,Rest on their laurels,To be unhappy,To be motivated,To be impatient,To be complacent,D,Select the alternative which best expresses the meaning of the idiom/phrase.
407,1.4,Idioms & Phrases,To give him a piece of my mind,To be nice to him,To take revenge on him,To reprimand him,To support him,C,Select the alternative which best expresses the meaning of the idiom/phrase.
408,1.4,Idioms & Phrases,To stave off,Postpone,Wait and see,Allow it to take its own course,Prevent,D,Select the alternative which best expresses the meaning of the idiom/phrase.
409,1.4,Idioms & Phrases,Takes after,Follows,Imitates,Obeys,Resembles,D,Select the alternative which best expresses the meaning of the idiom/phrase.
410,1.4,Idioms & Phrases,Made no bones about,Did not have any hesitation in,Did not have any faith in,Demanded compensation for,Had problems in,A,Select the alternative which best expresses the meaning of the idiom/phrase.
411,1.4,Idioms & Phrases,Head will roll,Transfers will take place,Heads will be cut off,People will die,Dismissals will occur,A,Select the alternative which best expresses the meaning of the idiom/phrase.
412,1.4,Idioms & Phrases,Made a clean breast of,Showed his breast,Fought like a hero,Confessed without reserve,Face bravely,C,Select the alternative which best expresses the meaning of the idiom/phrase.
413,1.4,Idioms & Phrases,Keep up,To imitate,To keep in touch,To avoid,To be on par,D,Select the alternative which best expresses the meaning of the idiom/phrase.
414,1.4,Idioms & Phrases,Took to his heels,Ran away in fear,Went slowly,Walked in fear,Jumped fast,A,Select the alternative which best expresses the meaning of the idiom/phrase.
415,1.4,Idioms & Phrases,Hard and fast,Flexible,Strict,Difficult,Honest,B,Select the alternative which best expresses the meaning of the idiom/phrase.
416,1.4,Idioms & Phrases,Off and on,Frequently,Rarely,Occasionally,Sometimes,C,Select the alternative which best expresses the meaning of the idiom/phrase.
417,1.4,Idioms & Phrases,murdered ... in cold blood,A murder done without feeling,A murder done in revenge,A murder done in great anger,A murder done in enmity,A,Select the alternative which best expresses the meaning of the idiom/phrase.
418,1.4,Idioms & Phrases,Are going places,Going abroad,Going to spaces,Talented and successful,Friendly and amicable,C,Select the alternative which best expresses the meaning of the idiom/phrase.
419,1.4,Idioms & Phrases,To keep the pot boiling,To write many books,To boil the pots at home,To earn enough money to live,To achieve the target given,C,Select the alternative which best expresses the meaning of the idiom/phrase.
420,1.4,Idioms & Phrases,To bide their time,To be one time,To check-time often,To save their time,To wait patiently,D,Select the alternative which best expresses the meaning of the idiom/phrase.
421,1.4,Idioms & Phrases,Impressed upon,Admitted,Assumed,Convinced,Assured,C,Select the alternative which best expresses the meaning of the idiom/phrase.
422,1.4,Idioms & Phrases,Bears sway,Exercises sanction,Exercises liberty,Exercises influence,Exercises authority,D,Select the alternative which best expresses the meaning of the idiom/phrase.
423,1.4,Idioms & Phrases,First chance,A huge drain,An expense,A priority,No great burden,C,Select the alternative which best expresses the meaning of the idiom/phrase.
424,1.4,Idioms & Phrases,In a tight corner ,In a closed room,In a small field,In a difficult situation,In a meadow,C,Select the alternative which best expresses the meaning of the idiom/phrase.
425,1.4,Idioms & Phrases,A wild goose chase,Fruitful hunting,Futile search,Idea seeking,Genuine effort,B,Select the alternative which best expresses the meaning of the idiom/phrase.
426,1.4,Idioms & Phrases,Does not hold water,Does not deserve appreciation,Does not fulfil the requirements,Cannot be believed,Cannot be valued,C,Select the alternative which best expresses the meaning of the idiom/phrase.
427,1.4,Idioms & Phrases,On the cuff,On credit,Against his credit card,In his bank account,In his friend’s account,A,Select the alternative which best expresses the meaning of the idiom/phrase.
428,1.4,Idioms & Phrases,Out and out,Totally,Simply,Merely,Slightly,A,Select the alternative which best expresses the meaning of the idiom/phrase.
429,1.4,Idioms & Phrases,A white elephant,A rare article,Useful mode of transport,Useful mode of transport,A useless possession,D,Select the alternative which best expresses the meaning of the idiom/phrase.
430,1.4,Idioms & Phrases,Fair and square,Active,Honest,Business like,Authoritative,B,Select the alternative which best expresses the meaning of the idiom/phrase.
431,1.4,Idioms & Phrases,No love lost between,Stop loving ,Not on good terms,Forming a group,Have good understanding,B,Select the alternative which best expresses the meaning of the idiom/phrase.
432,1.4,Idioms & Phrases,Played havoc,Caused destruction,Caused diseases,Caused floods,Caused hardship,A,Select the alternative which best expresses the meaning of the idiom/phrase.
433,1.4,Idioms & Phrases,green thumb,One’s nails are painted green,One is artistic,To have  natural interest in gardening,One has a green tattoo on the thumb,C,Select the alternative which best expresses the meaning of the idiom/phrase.
434,1.4,Idioms & Phrases,Helter-skelter,In great fear,In disorderly haste,In haste,In great sorrow,B,Select the alternative which best expresses the meaning of the idiom/phrase.
435,1.4,Idioms & Phrases,By leaps and bounds,Rapidly,Slowly,Peacefully,Strongly,A,Select the alternative which best expresses the meaning of the idiom/phrase.
436,1.4,Idioms & Phrases,A Herculean task,A work of no worth,An effortless job,A work requiring very great effort,A work requiring very great intelligence,C,Select the alternative which best expresses the meaning of the idiom/phrase.
437,1.4,Idioms & Phrases,Got the sack,Resigned,Got rid of ,Was demoted from,Was dismissed from,D,Select the alternative which best expresses the meaning of the idiom/phrase.
438,1.4,Idioms & Phrases,Put up with,Endure,Evade,Suppress,Assume,A,Select the alternative which best expresses the meaning of the idiom/phrase.
439,1.4,Idioms & Phrases,Only burns a hole in his pocket,Gets spent quickly,Makes a hole in his pocket,Catches fire soon,Does not have value,A,Select the alternative which best expresses the meaning of the idiom/phrase.
440,1.4,Idioms & Phrases,Price yourself out of the market,Become too expensive for customers,Lose your job,Sell all your goods,Become a prosperous businessman,A,Select the alternative which best expresses the meaning of the idiom/phrase.
441,1.4,Idioms & Phrases,Shift for themselves,Move house on their own,Leave their old town and friends,Look after themselves without help,Cook their own food,A,Select the alternative which best expresses the meaning of the idiom/phrase.
442,1.4,Idioms & Phrases,The order of the day,An admirable practice,A common practice,A general rule,A popular measure,B,Select the alternative which best expresses the meaning of the idiom/phrase.
443,1.4,Idioms & Phrases,Paid a backhanded compliment,Returned the compliment,Made an uncharitable remark,Made an ambiguous statement of praise,Paid an undeserved compliment,C,Select the alternative which best expresses the meaning of the idiom/phrase.
444,1.4,Idioms & Phrases,Under a cloud,Experiencing cloudy weather,Enjoying favourable luck,Under suspicion,Under observation,C,Select the alternative which best expresses the meaning of the idiom/phrase.
445,1.4,Idioms & Phrases,Flogging a dead horse,Repeating our request,Making him see reason,Beating about the bush,Wasting time in useless effort,D,Select the alternative which best expresses the meaning of the idiom/phrase.
446,1.4,Idioms & Phrases,Look down upon,Sympathise with,Hate intensely,Be indifferent to,Regard with contempt,D,Select the alternative which best expresses the meaning of the idiom/phrase.
447,1.4,Idioms & Phrases,Face the music,Get finished,Get reprimanded,Feel sorry,Listen to the music,B,Select the alternative which best expresses the meaning of the idiom/phrase.
448,1.4,Idioms & Phrases,Token strike,Total strike,Carefully planned strick,Short strike hold as a warning,Sudden call of strike,C,Select the alternative which best expresses the meaning of the idiom/phrase.
